lon,lat,geometry,index_right,OBJECTID,GP_RTP,GP_REX,GP_RAV,GP_RRG,GP_RCY,GP_RSE,GP_RSI,GP_RSY,Shape_Length,gp_gripreg,dist_meters
-3.0,31.25,POINT (-277398.0557213275 3782797.6837893697),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,18155.61956712603
-3.0,31.5,POINT (-277398.0557213275 3810162.1542895245),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,35425.11488476109
-3.0,31.75,POINT (-277398.0557213275 3837455.3308373215),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,47718.74113559936
-3.0,32.0,POINT (-277398.0557213275 3864676.6926386477),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,21462.058559969817
-3.0,32.25,POINT (-277398.0557213275 3891825.7200540053),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,90.66669806928688
-2.75,29.25,POINT (-253276.48565860334 3561378.205842858),,,,,,,,,,,,,
-2.75,29.5,POINT (-253276.48565860334 3589294.144142208),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,79438.41379890105
-2.75,29.75,POINT (-253276.48565860334 3617142.9952009427),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,56277.402568167905
-2.75,30.0,POINT (-253276.48565860334 3644924.229349858),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,37654.7497533496
-2.75,30.25,POINT (-253276.48565860334 3672637.317994114),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,24490.82991253512
-2.75,30.5,POINT (-253276.48565860334 3700281.733623195),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,12798.353808023643
-2.75,30.75,POINT (-253276.48565860334 3727856.9498209287),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,6767.570539926033
-2.75,31.0,POINT (-253276.48565860334 3755362.4412754816),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,16542.798165999797
-2.75,31.25,POINT (-253276.48565860334 3782797.6837893697),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,167.33067133633284
-2.75,31.5,POINT (-253276.48565860334 3810162.1542895245),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,18016.25328089777
-2.75,31.75,POINT (-253276.48565860334 3837455.3308373215),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,33380.009011168615
-2.75,32.0,POINT (-253276.48565860334 3864676.6926386477),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,29805.763002569965
-2.75,32.25,POINT (-253276.48565860334 3891825.7200540053),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,2789.217218789622
-2.5,29.25,POINT (-229154.91559587923 3561378.205842858),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,88995.25948565712
-2.5,29.5,POINT (-229154.91559587923 3589294.144142208),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,66934.59212552631
-2.5,29.75,POINT (-229154.91559587923 3617142.9952009427),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,42680.18942863085
-2.5,30.25,POINT (-229154.91559587923 3672637.317994114),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,4347.834880496547
-2.5,30.5,POINT (-229154.91559587923 3700281.733623195),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,10528.321802821383
-2.5,30.75,POINT (-229154.91559587923 3727856.9498209287),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,23778.21588144528
-2.5,31.0,POINT (-229154.91559587923 3755362.4412754816),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,35634.82189814442
-2.5,31.25,POINT (-229154.91559587923 3782797.6837893697),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,14885.404834707686
-2.5,31.5,POINT (-229154.91559587923 3810162.1542895245),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,279.8103694450309
-2.5,31.75,POINT (-229154.91559587923 3837455.3308373215),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,14650.121627046676
-2.5,32.0,POINT (-229154.91559587923 3864676.6926386477),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,30752.922773562495
-2.25,29.0,POINT (-205033.3455331551 3533395.711036501),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,90125.98632892166
-2.25,29.25,POINT (-205033.3455331551 3561378.205842858),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,70655.05219689263
-2.25,29.5,POINT (-205033.3455331551 3589294.144142208),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,52799.7824252105
-2.25,30.25,POINT (-205033.3455331551 3672637.317994114),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,16684.291499749863
-2.25,30.5,POINT (-205033.3455331551 3700281.733623195),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,29834.8869766606
-2.25,30.75,POINT (-205033.3455331551 3727856.9498209287),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,42503.37161742373
-2.25,31.0,POINT (-205033.3455331551 3755362.4412754816),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,50326.09240732798
-2.25,31.25,POINT (-205033.3455331551 3782797.6837893697),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,34752.2347081026
-2.25,31.5,POINT (-205033.3455331551 3810162.1542895245),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,20487.639136289537
-2.25,31.75,POINT (-205033.3455331551 3837455.3308373215),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,5602.988883029991
-2.0,29.0,POINT (-180911.77547043093 3533395.711036501),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,75361.53830742715
-2.0,29.25,POINT (-180911.77547043093 3561378.205842858),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,53182.50321988507
-2.0,30.0,POINT (-180911.77547043093 3644924.229349858),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,49.90815517901647
-2.0,30.25,POINT (-180911.77547043093 3672637.317994114),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,26977.875717228788
-2.0,30.5,POINT (-180911.77547043093 3700281.733623195),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,50636.28657656354
-2.0,30.75,POINT (-180911.77547043093 3727856.9498209287),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,64411.431684560535
-2.0,31.0,POINT (-180911.77547043093 3755362.4412754816),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,70295.01386321521
-2.0,31.25,POINT (-180911.77547043093 3782797.6837893697),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,55161.46145971524
-2.0,31.5,POINT (-180911.77547043093 3810162.1542895245),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,39651.29974183724
-2.0,31.75,POINT (-180911.77547043093 3837455.3308373215),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,21802.549328813122
-1.75,29.5,POINT (-156790.20540770685 3589294.144142208),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,16293.612392048059
