lon,lat,cap_mid,annual_cf,t2m_mean,t2m_max,t2m_min
-4.75,24.75,28.899,0.25,28.67108479,48.52460535,3.560083743
-4.75,25,29.78,0.249,28.73456009,48.53478338,3.637436807
-4.75,25.25,29.294,0.25,28.33768533,48.01773922,3.975347558
-4.75,25.5,29.335,0.25,27.86112991,47.48033899,4.109697616
-4.75,25.75,29.299,0.251,27.57527754,47.27067147,3.464410217
-4.75,26,28.727,0.25,27.56848917,47.17296234,2.933116807
-4.75,26.25,28.726,0.249,27.46780889,47.24013737,3.2832412
-4.75,26.5,28.076,0.249,27.3653083,47.15667749,3.458303397
-4.75,26.75,26.023,0.248,27.23866499,46.78619702,3.262885131
-4.75,27,26.219,0.249,27.10321093,46.67016743,2.560600738
-4.75,27.25,27.237,0.25,26.70416801,47.20960327,1.520405594
-4.75,27.5,22.755,0.252,26.09912208,47.366345,0.818121201
-4.75,27.75,23.347,0.253,25.75075219,47.21774569,0.907687906
-4.75,28,24.312,0.253,25.68073533,46.93886754,0.698020392
-4.75,28.25,26.151,0.252,25.70742324,46.92868951,0.567741548
-4.75,28.5,26.202,0.25,25.91815676,46.95311679,0.588097617
-4.75,28.75,26.325,0.25,26.01779768,46.5154613,0.822192415
-4.75,29,26.262,0.25,25.99113805,46.2223339,1.06442964
-4.75,29.25,25.584,0.25,25.83628152,45.9292065,1.422696461
-4.75,29.5,25.416,0.249,25.77081836,45.81928373,1.939740622
-4.75,29.75,25.416,0.248,25.69325742,45.80503448,1.886814842
-4.75,30,25.128,0.248,25.50832402,45.62793668,2.029307328
-4.75,30.25,25.074,0.248,25.07234238,45.33073807,2.57281438
-4.75,30.5,7.052,0.247,24.55410661,44.80962269,0.683771143
-4.75,30.75,0,0.243,25.20029826,45.57908211,0.909723513
-4.75,31,0,0.243,24.71591025,44.84422801,1.882743628
-4.75,31.25,0,0.242,23.70163549,43.91395564,1.493942704
-4.75,31.5,0,0.243,22.59943684,42.97554084,0.396750565
-4.75,31.75,0,0.244,21.36892218,41.65239633,-0.254643654
-4.5,18,36.172,0.26,28.21039038,44.93583032,7.944781083
-4.5,18.25,35.646,0.261,28.08371857,44.86661968,7.36870432
-4.5,18.5,35.59,0.261,28.01476308,44.8116583,7.167179234
-4.5,18.75,35.068,0.261,27.97882873,44.88290454,6.967689754
-4.5,19,35.015,0.261,27.89941503,44.90733182,6.475072875
-4.5,19.25,34.963,0.262,27.84976166,45.02946824,5.896960506
-4.5,19.5,34.437,0.262,27.86345774,45.44066084,5.671008136
-4.5,19.75,34.384,0.261,27.8865414,45.96177622,5.577370217
-4.5,20,34.329,0.261,27.92391671,46.33225668,5.581441431
-4.5,20.25,33.801,0.26,28.02190115,46.67016743,5.921387789
-4.5,20.5,33.746,0.259,28.33095953,46.85744327,6.446574378
-4.5,20.75,33.695,0.258,28.73695675,46.93886754,6.924942008
-4.5,21,33.172,0.257,28.99288704,47.00197136,6.931048829
-4.5,21.25,33.116,0.256,29.13662653,47.09764489,6.786520737
-4.5,21.5,33.059,0.255,29.29631136,47.2767783,6.525963049
-4.5,21.75,32.537,0.254,29.24452713,47.1892472,6.055737847
